Fabbrica;Nazione;Continente
DE TOMASO;ITA;UE
MARTINMOTORS;CHN;ASIA
SHUANGHUAN;CHN;ASIA
IRISBUS;ITA;UE
SANTANA;ESP;UE
DFSK;CHN;ASIA
ALFA LANCIA;ITA;UE
LEYLAND;GBR;EUR
BYD;CHN;ASIA
PANTHER;GBR;EUR
CATERHAM;GBR;EUR
ASTRA;ITA;UE
DATSUN;JPN;ASIA
VALENTINI;ND;ND
BREMACH;ITA;UE
OM;ITA;UE
GMC;USA;AM
MELEX;POL;UE
EBRO;ESP;UE
CORVETTE;USA;AM
BUCHER SCHOR;SUI;EUR
DINO;ND;ND
ZASTAVA;SRB;EUR
VAUXHALL;GBR;EUR
BUICK;USA;AM
DAIMLER;GER;UE
ASIA MOTORS;KOR;ASIA
AUSTINHEALEY;GBR;EUR
DAF;NLD;UE
RAYTON FISSO;ITA;UE
STEYR;AUT;UE
UAZ;RUS;RUS
DKW;GER;UE
GIANNINI;ITA;UE
WILLYS;USA;AM
PININFARINA;ITA;UE
LINCOLN;USA;AM
SPORTEQUIPE;ITA;UE
AUTOMIRAGE;ITA;UE
POLESTAR;SWE;UE
ISUZU;JPN;ASIA
EMC;ITA;UE
MORGAN;GBR;EUR
SUNBEAM;GBR;EUR
PONTIAC;USA;AM
MARUTI;IND;ASIA
ARO;ROU;UE
ASTON MARTIN;GBR;EUR
MATRA;FRA;UE
ROLLS ROYCE;GBR;EUR
HUMMER;USA;AM
MORRIS;GBR;EUR
BENTLEY;GBR;EUR
BEDFORD;GBR;EUR
CADILLAC;USA;AM
PIAGGIO;ITA;UE
LAMBORGHINI;ITA;UE
BERTONE;ITA;UE
LOTUS;GBR;EUR
GREAT WALL;CHN;ASIA
TALBOT;GBR;EUR
NSU;GER;UE
INFINITI;JPN;ASIA
MAHINDRA;IND;ASIA
TRIUMPH;GBR;EUR
LADA;RUS;RUS
LYNK & CO;CHN;ASIA
ALTRE FABBRICHE;ND;ND
TATA ENG;IND;ASIA
AUSTIN;GBR;EUR
IVECO;ITA;UE
DODGE;USA;AM
SIMCA;FRA;UE
EVO;ITA;UE
FERRARI;ITA;UE
NON DEFINITO;ND;ND
MASERATI;ITA;UE
CUPRA;ESP;UE
SSANGYONG;KOR;ASIA
TESLA;USA;AM
SAAB;SWE;UE
LEXUS;JPN;ASIA
INNOCENTI;ITA;UE
MG;CHN;ASIA
ABARTH;ITA;UE
CHRYSLER;USA;AM
DS;FRA;UE
SUBARU;JPN;ASIA
DR;ITA;UE
ROVER;GBR;EUR
JAGUAR;GBR;EUR
DAIHATSU;JPN;ASIA
PORSCHE;GER;UE
MITSUBISHI;JPN;ASIA
AUTOBIANCHI;ITA;UE
MAZDA;JPN;ASIA
HONDA;JPN;ASIA
LAND ROVER;GBR;EUR
VOLVO;SWE;UE
SKODA;CZE;UE
SEAT;ESP;UE
MINI;GBR;EUR
CHEVROLET;USA;AM
SMART;GER;UE
KIA;KOR;ASIA
SUZUKI;JPN;ASIA
JEEP;USA;AM
DACIA;ROU;UE
HYUNDAI;KOR;ASIA
NISSAN;JPN;ASIA
BMW;GER;UE
ALFA ROMEO;ITA;UE
AUDI;GER;UE
MERCEDES;GER;UE
CITROEN;FRA;UE
PEUGEOT;FRA;UE
LANCIA;ITA;UE
TOYOTA;JPN;ASIA
RENAULT;FRA;UE
OPEL;GER;UE
FORD;USA;AM
VOLKSWAGEN;GER;UE
FIAT;ITA;UE
